2,,invalshoeken,niveau van ontsluiting,objectnummer,beelden ontsluiten voor publiek?,inhoudelijke registratie koepel en deelnummers,waardering,,foto-overleg,beelden klaar,staat te ontsluiten beeld op de R-schijf in groot formaat?,naam beeld(en),vervaardiger,toestemming auteursrecht,Attributie,publicatie op cogent (via europeana),publicatie op erfgoedinzicht,opmerkingen,collectiepresentatie?
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2001-0130_2-3,niet-publiek,ok,,,,ok,ok,2001-0130_2-3,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2001-0130_3-3,niet-publiek,ok,,,,ok,ok,2001-0130_3-3,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2001-0136,publiek,ok,,,,ok,ok,2001-0136,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe,,Italiaans postmodernisme,set,2002-0033_0-4,publiek,ok,,,foto nemen; ok,nummer,nee,2002-0033_0-4$1;2002-0033_0-4$2,,,,ok 2025-03-10,ok 2025-03-10,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0033_1-4,niet-publiek,ok,,,verpakking ; nieuwe foto; ok,nummer,ok,2002-0033_1-4$2;2002-0033_1-4$3;2002-0033_1-4$4,,,,ok 2025-03-10,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0033_2-4,niet-publiek,ok,,,verpakking ; nieuwe foto; ok,nummer,ok,2002-0033_2-4$3;2002-0033_2-4$4,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0033_3-4,niet-publiek,ok,,,geen goeie foto; ok,nummer,nee,2002-0033_3-4$1;2002-0033_3-4$2;2002-0033_3-4$3,,,,ok 2025-03-10,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0033_4-4,niet-publiek,ok,,,verpakking ; nieuwe foto; ok,nummer,ok,2002-0033_4-4$3;2002-0033_4-4$4;2002-0033_4-4$5,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,set,2002-0034_0-2,publiek,ok,,,,ok,ok,2002-0034_0-2$2,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0034_1-2,niet-publiek,ok,,,,ok,ok,2002-0034_1-2$1,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0034_2-2,niet-publiek,ok,,,,ok,ok,2002-0034_2-2$2,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0035,publiek,ok,,,,ok,ok,2002-0035$1,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0036,publiek,ok,,,,ok,ok,2002-0036$2,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0037,publiek,ok,,,,ok,ok,2002-0037$1,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0038,publiek,ok,,,,ok,ok,2002-0038$1,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0039,publiek,ok,,,,ok,ok,2002-0039$1,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0040,publiek,ok,,,,ok,ok,2002-0040$1,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0041,publiek,ok,,,,ok,ok,2002-0041$1,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0054,publiek,ok,,,,ok,ok,2002-0054$1,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe,,Italiaans postmodernisme,ensemble,2002-0115_00-11,publiek,ok,,,,ok,ok,2002-0115_00-11$1,,,,ok 2022-04-08,ok 2022-04-08,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0115_01-11,niet-publiek,ok,,,,ok,ok,2002-0115_01-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0115_02-11,niet-publiek,ok,,,,ok,ok,2002-0115_02-11,,,,ok 2023-07-07,nvt,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,2002-0115_03-11,niet-publiek,ok,,,,ok,ok,2002-0115_03-11,,,,ok 2023-07-07,nvt,,
